rowid;name;force;level;mechanic;equipment;primaryMuscles;secondaryMuscles;instructions;category;images;id
197;Ferde Hasprés;pull;intermediate;isolation;saját testsúlyos;[3];[];"[Rögzítse a lábát a leeresztőpad végén, és feküdjönön le. „; „Most könnyedén tegye a kezét a feje mindkét oldalára, tartva a könyökét. Tipp: Ne zárja az ujjait a feje mögé. „; „Miközben a hátadat lefelé tolja a padon, hogy jobban elszigetelje a hasi izmokat; kezdjeje el felforgatni róla a vállait. „; „Folytassa a lefelé nyomást a hát alsó részével, amint összehúzza a hasát és kilélegzi. A válladnak csak körülbelül négy hüvelykre kell emelkednie a padról; és a hát alsó részének a padon kell maradnia. A mozgás tetején; keményen összehúzza a hasát, és tartsa meg az összehúzódást egy másodpercig. Tipp: Fókuszáljon a lassú; ellenőrzött mozgásra - ne csalja meg magát lendület használatával. „; „Az egymásodperces összehúzódás után kezdjejen lassan ismét leereszkedni a kiindulási helyzetbe, amikor belélegzel. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Decline_Crunch/0.jpg""; ""Decline_Crunch/1.jpg""]";Decline_Crunch
198;Ferde Kézis Fekvenyomás;push;beginner;compound;kézisúlyzó;[4];"[2; 6]";"[Rögzítse a lábát a lehajtópad végén, és feküdjönön le egy súlyzóval mindkét kezén a combok tetejére. A tenyered egymással szemben lesz. „; „Miután lefekszel, mozgassa előtted a súlyzókat vállszélességgel. „; „Egyszer vállszélességgel; forgassa előre a csuklóját úgy, hogy a tenyered távolra nézzen tőled. Ez lesz a kiindulási pozíciód. „; „Lassan engedje le a súlyokat oldaladra, miközben kilélegzel. Mindig tartsa teljes irányítását a súlyzók felett. Tipp: A mozgás során; az alkaroknak mindig merőlegesnek kell lenniük a padlóra. „; „Amikor kilélegzel; nyomja fel a súlyzókat a mellizmokkal. Rögzítse a karját összehúzott helyzetbe; nyomja meg a mellkasát; tartsa egy másodpercig, majd lassan kezdjejen leereszkedni. Tipp: Legalább kétszer annyi ideig kell tartania a lefelé, mint a felmenés.. „; „Ismételje meg a mozgást az edzésprogram előírt mennyiségű ismétléséhez.]";strength;"[""Decline_Dumbbell_Bench_Press/0.jpg""; ""Decline_Dumbbell_Bench_Press/1.jpg""]";Decline_Dumbbell_Bench_Press
199;Ferde Kézis Flyes;push;beginner;compound;kézisúlyzó;[4];[];"[Rögzítse a lábát a lehajtópad végén, és feküdjönön le egy súlyzóval mindkét kezén a combok tetejére. A tenyered egymással szemben lesz. „; „Miután lefekszel, mozgassa előtted a súlyzókat vállszélességgel. A tenyérnek egymással kell néznie, a karoknak merőlegesnek kell lenniük a padlóra és teljesen kinyújtaknak. Ez lesz a kiindulási pozíciód. „; „A könyökét enyhén hajlítva a bicepsz ínnél fellépő stressz elkerülése érdekében; engedje le a karjait mindkét oldalról széles ívben, amíg a mellkasán nyújtást nem érzi. Lélegezzen be, miközben végrehajtja a mozgás ezen részét. Tipp: Ne feledje, hogy a mozgás során; a karoknak mozdulatlanul kell maradniuk; a mozgás csak a vállízületnél történhet. „; „Állítsa vissza a karját a kiindulási helyzetbe, miközben összenyomja a mellkasi izmait és kilélegzi. Tipp: Ügyeljen arra, hogy ugyanazt a mozgási ívet használja, mint a súlyok csökkentéséhez. „; „Tartsa egy másodpercig az összehúzott helyzetben, és ismételje meg a mozgást az előírt mennyiségű ismétléshez.]";strength;"[""Decline_Dumbbell_Flyes/0.jpg""; ""Decline_Dumbbell_Flyes/1.jpg""]";Decline_Dumbbell_Flyes
200;Ferde Kézis Tricepsz Kiterjesztés;push;beginner;isolation;kézisúlyzó;[6];[];"[Rögzítse a lábát a lehajtópad végén, és feküdjönön le egy súlyzóval mindkét kezén a combok tetejére. A tenyered egymással szemben lesz. „; „Miután lefekszel, mozgassa előtted a súlyzókat vállszélességgel. A tenyérnek egymással kell néznie, a karoknak merőlegesnek kell lenniük a padlóra és teljesen kinyújtaknak. Ez lesz a kiindulási pozíciód. „; „Miközben belélegzel, és a felkarokat álló helyzetben tartja (és a könyököket); lassan húzza le a súlyzókat úgy, hogy félkör alakú mozdulattal mozgatja az alkarjait feléd felé, amíg a hüvelykujja a füled mellett nem lesz. Lélegezzen be, miközben végrehajtja a mozgás ezen részét. „; „Emelje vissza a súlyzókat a kiindulási helyzetbe a tricepsz összehúzásával és kilégzésével. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Decline_Dumbbell_Triceps_Extension/0.jpg""; ""Decline_Dumbbell_Triceps_Extension/1.jpg""]";Decline_Dumbbell_Triceps_Extension
201;Ferde francia rúd  Tricepsz Kiterjesztés;push;beginner;isolation;rúd;[6];[];"[Rögzítse a lábát a hanyatló pad végén, és lassan feküdjönön le a padra. „; „Szoros markolattal (egy markolat, amely valamivel kisebb, mint a vállszélesség); emelje fel az EZ rúdot az állványról, és tartsa egyenesen felett, zárva karjaival és könyökével. A karoknak merőlegesnek kell lenniük a padlóra. Ez lesz a kiindulási pozíciód. Tipp: A forgó mandzsetta védelme érdekében a legjobb, ha megfigyelője segít felemelni a súlyzót az állványról. „; „Miközben belélegzel, és a felkarokat álló helyzetben tartjuk; lassan tedd le a rudat úgy, hogy félkör alakú mozdulattal feléd felé mozgatja az alkarját, amíg nem érzed, hogy a rúd kissé megérinti a homlokádat. Lélegezzen be, miközben végrehajtja a mozgás ezen részét. „; „Emelje vissza a rudat a kiindulási helyzetbe a tricepsz összehúzásával és kilégzésével. „; „Ismételje meg addig, amíg az ajánlott mennyiségű ismétlést el nem hajtják végre.]";strength;"[""Decline_EZ_Bar_Triceps_Extension/0.jpg""; ""Decline_EZ_Bar_Triceps_Extension/1.jpg""]";Decline_EZ_Bar_Triceps_Extension
202;Ferde Oldalsó Hasprés;pull;beginner;compound;saját testsúlyos;[3];[];"[Rögzítse a lábát a hanyatló pad végén, és lassan feküdjönön le a padra. „; „Emelje fel a felsőtestét a padról, amíg a törzse körülbelül 35-45 fok lesz, ha a padlótól mérjük. „; „Tegye az egyik kezét a feje mellé, a másikat a combodra. Ez lesz a kiindulási pozíciód. „; „Emelje fel a felsőtestét lassan a kiindulási helyzetből, miközben a törzset balra fordítja. Lélegezés közben folytassa a ropogást, amíg a jobb könyök meg nem érinti a bal térdét. Tartsa ezt a szerződéses pozíciót egy másodpercig. Tipp: Fókuszáljon arra, hogy a hasi feszes legyen, és a mozgás lassú és ellenőrzött legyen. „; „Belélegzés közben lassan engedje vissza testét a kiindulási helyzetbe. „; „Miután elvégezte a jobb oldalon található egy készletet az ajánlott ismétlések mennyiségéhez; váltson a bal oldalra. Tipp: Fókuszáljon arra, hogy valóban megcsavarja a törzset, és érezze az összehúzódást, amikor felfelé haladsz. ]";strength;"[""Decline_Oblique_Crunch/0.jpg""; ""Decline_Oblique_Crunch/1.jpg""]";Decline_Oblique_Crunch
203;Ferde Tolódzkodás;push;beginner;compound;;[4];"[2; 6]";"[Feküdjön a padlón arccal lefelé, és tegye a kezét körülbelül 36 hüvelyk távolságra egymástól, miközben a törzset karhossá tartja felfelé. Mozgassa fel a lábát egy dobozra vagy padra. Ez lesz a kiindulási pozíciód. „; „Ezután engedje le magát lefelé, amíg a mellkasa majdnem megérinti a padlót, miközben belélegzel. „; „Most lélegezzen ki, és nyomja vissza a felsőtestét a kiindulási helyzetbe, miközben összenyomja a mellkasát. „; „Egy rövid szünet után a felső összehúzódott pozícióban; elkezdjeheti újra lefelé engedni magát annyi ismétléshez, amennyire szükséges.]";strength;"[""Decline_Push-Up/0.jpg""; ""Decline_Push-Up/1.jpg""]";Decline_Push-Up
204;Ferde Fordított Hasprés;pull;beginner;compound;saját testsúlyos;[3];[];"[Feküdjön a hátán egy lehajló padon, és tartsa mindkét kezével a pad tetejét. Ne hagyja, hogy a teste lecsúszjon ebből a helyzetből. „; „Tartsa a lábát párhuzamosan a padlóval a hasimával, hogy ott tartsa őket, miközben térdét és lábát együtt tartsa. Tipp: A lábát teljesen ki kell nyújtani, enyhe hajlítással a térden. Ez lesz a kiindulási pozíciód. „; „Kilégzés közben mozgassa a lábát a törzs felé, miközben hátrafelé forgatja a medencét, és felemeli a csípőjét a padról. A mozgás végén a térded megérinti a mellkasát. „; „Tartsa egy másodpercig az összehúzódást, és belélegzés közben vigye vissza a lábát a kiindulási helyzetbe. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Decline_Reverse_Crunch/0.jpg""; ""Decline_Reverse_Crunch/1.jpg""]";Decline_Reverse_Crunch
205;Ferde Smith Gép Nyomás;push;beginner;compound;gép;[4];"[2; 6]";"[Helyezzen egy lehajtópadot a Smith gép alá. Most helyezze a súlyzót olyan magasságba, amelyet fekve elérhet, és a karjai majdnem teljesen ki vannak nyújtva. A vállszélességnél szélesebb pronált markolat használatával nyissa ki a rudat az állványról, és tartsa egyenesen felett, kinyújtott karjaival. Ez lesz a kiindulási pozíciód. „; „Belélegzés közben engedje le az irányítás alatt álló rudat úgy, hogy hagyja a könyök hajlítását; enyhén érintse meg a törzset. „; „Rövid szünet után állítsa vissza a rudat a kiindulási helyzetbe a könyök kinyújtásával; kilégzés közben. „; „Ismételje meg a mozgást az előírt mennyiségű ismétléshez. „; „Amikor a készlet elkészült, zárja vissza a rudat az állványba.]";strength;"[""Decline_Smith_Press/0.jpg""; ""Decline_Smith_Press/1.jpg""]";Decline_Smith_Press
206;Deficit Felhúzás;pull;intermediate;compound;rúd;[11];"[12; 13; 5; 9; 1; 14]";"[Kezdje azzal, hogy van egy platform vagy súlylemez, amelyeken állhat; általában 1-3 hüvelyk magas. Közeledje meg a rudat úgy, hogy az a lábad fölé legyen középpontjában. A lábadnak körülbelül csípőszélességűnek kell lennie egymástól. Hajlítsa meg a csípőbe, hogy vállszélességben megragadja a rudat, lehetővé téve a vállpengék kinyúlását. Általában; nehezebb készletekben túlkézi markolatot vagy túl/alatti markolatot használna. „; „A lábaddal és a fogatával, vegyen egy nagy lélegzetet, majd engedje le a csípőjét, és hajlítsa meg a térdét, amíg a lábad nem érintkezik a rúddal. Nézzen előre a fejével; tartsa fel a mellkasát és ívelt hátát; és kezdjejen el végigvezetni a sarokon, hogy felfelé mozgassa a súlyt. Miután a rúd áthalad a térden; agresszíven húzza vissza a rudat; húzza össze a vállpengéket, miközben a csípőjét előre hajtja a rúdba. „; „Engedje le a rudat úgy, hogy hajlítsa meg a csípőt, és vezesse a padlóra.]";powerlifting;"[""Deficit_Deadlift/0.jpg""; ""Deficit_Deadlift/1.jpg""]";Deficit_Deadlift
207;Mélységi Ugrás;push;beginner;compound;egyéb;[1];"[16; 15; 10; 13; 5]";"[Ehhez a fúróhoz két dobozra vagy padra lesz szüksége; az egyik 12-16 hüvelyk magas, a másik 22-26 hüvelyk magas. „; „Álljon a két doboz egyikére, oldalsó karokkal; a lábaknak együtt kell lenniük és kissé le kell állniuk a szélétől, mint a mélyugrásnál. Helyezze a másik dobozt körülbelül két vagy három lábbal az előadó elé és az előadó felé. „; „Kezdje azzal, hogy leejti a kezdjeeti dobozt; leszállás és egyidejű felszállás mindkét lábbal. „; „A lehető legintenzívebben felfelé és kifelé haladva visszapattanunk; a karokkal és a test teljes nyújtásával ugráljon a magasabb dobozra. Ismét: hagyja, hogy a lábak elnyeljék az ütközést.”";plyometrics;"[""Depth_Jump_Leap/0.jpg""; ""Depth_Jump_Leap/1.jpg""]";Depth_Jump_Leap
208;Tolódzkodó Gép;push;beginner;compound;gép;[6];"[4; 2]";"[Üljön biztonságosan egy mártógépbe; válasszaa ki a súlyt, és szorosan fogja meg a fogantyúkat. „; „Most tartsa a könyökét oldalán, hogy a tricepszre helyezzen a hangsúlyt. A könyököket 90 fokos szögben kell hajlítani. „; „Miközben összehúzod a tricepszt; nyissa ki lefelé a karját, amikor kilélegzel. Tipp: A mozgás alján; összpontosítson arra, hogy egy kis hajlítást tartson a karjaiban, hogy megtartsa a feszültséget a tricepsz izomban. „; „Most lassan hagyja, hogy a karjai térjenek vissza a kiindulási helyzetbe, miközben belélegzel. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Dip_Machine/0.jpg""; ""Dip_Machine/1.jpg""]";Dip_Machine
209;Tolódzkodás – mellkas Változat;push;intermediate;compound;egyéb;[4];"[2; 6]";"[Ehhez a gyakorlathoz hozzáférésre van szüksége a párhuzamos sávokhoz. Ahhoz, hogy kiindulási helyzetbe kerüljön, tartsa testét karhosszban (karok zárva) a rudak felett. „; „Belélegzés közben lassan engedje le magát úgy, hogy a törzsed körülbelül 30 fok körül előre hajlik, és a könyöke kissé kitágul, amíg enyhe nyúlást nem érzel a mellkasban. „; „Miután érezte a nyújtást; a mellkasával vigye vissza testét a kiindulási helyzetbe, miközben kilélegzi. Tipp: Ne felejtse el egy másodpercig összenyomni a mellkasát a mozgás tetején. „; „Ismételje meg a mozgást az előírt mennyiségű ismétléshez.]";strength;"[""Dips_-_Chest_Version/0.jpg""; ""Dips_-_Chest_Version/1.jpg""]";Dips_-_Chest_Version
210;Tolódzkodás – Tricepsz Változat;push;beginner;compound;saját testsúlyos;[6];"[4; 2]";"[Kiindulási helyzetbe kerüléshez tartsa a testét karhosszban, majdnem a rudak fölé zárva a karjaival. „; „Most; lélegezz be, és lassan engedje le magát lefelé. A törzsnek függőlegesen kell maradnia, könyökének pedig közel kell maradnia a testéhez. Ez segít jobban összpontosítani a tricep részvételére. Engedje le magát, amíg a felkar és az alkar között 90 fokos szög nem alakul ki. „; „Ezután lélegezzen ki, és nyomja vissza a törzset a tricepsz segítségével, hogy visszaállítsa testét a kiindulási helyzetbe. „; „Ismételje meg a mozgást az előírt mennyiségű ismétléshez.]";strength;"[""Dips_-_Triceps_Version/0.jpg""; ""Dips_-_Triceps_Version/1.jpg""]";Dips_-_Triceps_Version
211;Szamár Vádli Emelések;push;intermediate;isolation;egyéb;[10];[];"[Ehhez a gyakorlathoz hozzáférésre van szüksége egy szamárborjúnevelő géphez. Kezdje azzal, hogy a hát alsó részét és a csípőjét a mellékelt párnázott kar alá helyezi. A farokcsontnak kell lennie az érintkezésnek a párnával. „; „Helyezze mindkét karját az oldalsó fogantyúkra, és helyezze a lábgolyókat a borjútömbre úgy, hogy a sarkai kinyúlnak. Igazítsa előre a lábujjakat; befelé vagy kifelé; attól függően, hogy melyik területet kíván megcélozni; és egyenesítse ki a térdeket anélkül, hogy rögzítené őket. Ez lesz a kiindulási pozíciód. „; „Emelje fel a sarkát, miközben kilélegzel, úgy, hogy a bokáját a lehető legmagasabbra nyújtja, és hajlítsa meg a borját. Győződjön meg róla, hogy a térd mindig álló helyzetben legyen. A hajlítás soha nem történhet. Tartsa meg az összehúzott pozíciót egy másodperccel, mielőtt visszamenne lefelé. „; „Lassan térjen vissza a kiindulási helyzetbe, miközben belélegezed, leengedve a sarkát, miközben hajlítod a bokákat, amíg a borjak meg nem nyúlik. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Donkey_Calf_Raises/0.jpg""; ""Donkey_Calf_Raises/1.jpg""]";Donkey_Calf_Raises
212;Dupla Kettlebell Váltott Lógó Clean;pull;intermediate;compound;Kettlebell;[5];"[7; 10; 12; 13; 11; 1; 14]";"[Helyezzen két vízforralót a lábad közé. A kiindulási helyzetbe kerüléshez nyomja vissza a fenekét, és nézzen egyenesen előre. „; „Tisztítsa meg az egyik vízforralót a vállához, és tartsa meg a másik kettlebellt. „; „Folyékony mozdulattal engedje le a felső vízforralót, miközben az alsó vízforralót felfelé hajtja.]";strength;"[""Double_Kettlebell_Alternating_Hang_Clean/0.jpg""; ""Double_Kettlebell_Alternating_Hang_Clean/1.jpg""]";Double_Kettlebell_Alternating_Hang_Clean
213;Dupla Kettlebell Jerk;push;intermediate;compound;Kettlebell;[2];"[10; 1; 6]";"[Tartsa a vízforralót a fogantyúnál mindkét kezében. „; „Tisztítsa meg a kettlebelleket a vállához úgy, hogy a lábakon és a csípőn keresztül húzza, miközben a kettlebelleket a vállad felé húzza. Ennek során forgassa el a csuklóját; úgy, hogy a tenyér előre nézzen. Ez lesz a kiindulási pozíciód. „; „Merítse a testét térdre hajlítva; tartsa egyenesen a törzset. „; „Azonnal fordítsa meg az irányt; a sarkon keresztül haladva; lényegében ugrás, hogy lendületet teremtsen. „; „Miközben ezt teszed, nyomd meg a kettlebelleket a karok kinyújtásával a lezáráshoz; a test lendületével mozgathatod a súlyokat. „; „Tegye vissza a lábadat a földre osztott módon; egyik lábbal előre és egy lábbal hátra. „; „Tartsa a súlyokat a fölött; térjen vissza álló helyzetbe; összehangolja a lábát. Csökkentse le a súlyokat a következő ismétlés végrehajtásához. ]";strength;"[""Double_Kettlebell_Jerk/0.jpg""; ""Double_Kettlebell_Jerk/1.jpg""]";Double_Kettlebell_Jerk
214;Dupla Kettlebell Push Press;push;intermediate;compound;Kettlebell;[2];"[10; 1; 6]";"[Tisztítsa meg két vízforralót a vállához. „; „Guggolj le néhány centimétert, és gyorsan fordítsa meg a mozgást. Használja a lábak lendületét a vízforralók fölé hajtásához. „; „Miután a vízforralók ki vannak zárva, engedje le a kettlebelleket a vállára, és ismételje meg.]";strength;"[""Double_Kettlebell_Push_Press/0.jpg""; ""Double_Kettlebell_Push_Press/1.jpg""]";Double_Kettlebell_Push_Press
215;Dupla Kettlebell Snatch;pull;expert;compound;Kettlebell;[2];"[13; 5; 1]";"[Helyezzen két vízforralót a lába mögé. Hajlítsa meg térdét, és üljön hátra, hogy felvegye a kettlebelleket. „; „Erősen fordítsa a kettlebelleket a lábad között, és fordítsa meg az irányt. „; „Hajtson át a csípőjével, és zárja le a ketttlebelleket egy folyamatos mozdulattal.]";strength;"[""Double_Kettlebell_Snatch/0.jpg""; ""Double_Kettlebell_Snatch/1.jpg""]";Double_Kettlebell_Snatch
216;Dupla Kettlebell Szélmalom;pull;intermediate;;Kettlebell;[3];"[13; 5; 2; 6]";"[Helyezze a vízforralót az első lába elé, és tisztítsa meg és nyomja meg a vízforralót a másik karjával. Tisztítsa meg a kettlebell-et a vállához úgy, hogy a lábakon és a csípőn keresztül húzza, miközben a kettlebellet a válla felé húzza. Ennek során forgassa el a csuklóját; úgy, hogy a tenyér előre nézzen. „; „A vízforralót mindig zárva tartva; nyomja ki a fenekét a zárt vízforraló irányába. Fordítsa ki a lábát negyvenöt fokos szögben a kartól a zárt vízforralóval. „; „Hajlítsa meg a csípőjét egy oldalra; húzza ki a fenekét; lassan hajoljon, amíg ki nem tudja venni a vízforralót a padlóról. Tartsa a szemét a kettlebellre, amelyet mindig a feje fölött tart. „; „Szüneteljen egy másodpercre, miután kivette a vízforralót a földről, és fordítsa vissza a mozgást a kiindulási helyzetbe.]";strength;"[""Double_Kettlebell_Windmill/0.jpg""; ""Double_Kettlebell_Windmill/1.jpg""]";Double_Kettlebell_Windmill
217;Dupla Láb Hátsó Rúgás;push;beginner;compound;saját testsúlyos;[1];"[16; 15; 10; 13; 5]";"[Kezdje állni kissé hajlított térdével. „; „Gyorsan guggoljon rövid távolságra; hajlítsa meg a csípőt és a térdet; és azonnal meghosszabbítsa, hogy ugráljon a maximális függőleges magasságra. „; „Ahogy felfelé haladsz, hajlítsa meg a sarkát a térd hajlításával; megpróbálj megérinteni a fenéket. „; „Fejezze be a mozgást úgy, hogy csak részben hajlított térddel száll le; a lábakkal elnyeli az ütközést.]";plyometrics;"[""Double_Leg_Butt_Kick/0.jpg""; ""Double_Leg_Butt_Kick/1.jpg""]";Double_Leg_Butt_Kick
218;Lefelé Néző Egyensúly Gyakorlat;static;intermediate;isolation;fitneszlabda ;[13];"[3; 5]";"[Feküdjön arccal lefelé egy edzőlabda tetejére. „; „Miközben a hasán nyugszik a labdán; sétáljon előre a kezét a padló mentén, és emelje fel a lábát; nyújtsa ki könyökét és térdét.]";strength;"[""Downward_Facing_Balance/0.jpg""; ""Downward_Facing_Balance/1.jpg""]";Downward_Facing_Balance
219;Húzó Bicepsz Hajlítás;pull;intermediate;compound;rúd;[7];[12];"[Fogja meg a súlyzót fekvő markolattal (tenyere előre néz), és helyezze könyökét közel a törzséhez és hátához. Ez lesz a kiindulási pozíciód. „; „Kilégzés közben hajlítsa fel a rudat, miközben a könyöket hátra tartja, miközben húzza felfelé a rúdot úgy, hogy érintkezésbe tartja a törzsével. Tipp: Amint láthatja; a könyököket nem az oldaladhoz rögzítve fogja tartani, hanem inkább visszahozod őket. Szintén; ne emelje fel a vállát. „; „Lassan térjen vissza a kiindulási helyzetbe, miközben a rúdot mindig érintkezve tartja a törzssel. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Drag_Curl/0.jpg""; ""Drag_Curl/1.jpg""]";Drag_Curl
220;Drop Push;push;intermediate;compound;egyéb;[4];"[2; 6]";"[Helyezze el az alacsony dobozokat vagy más platformokat 2-3 láb távolságra egymástól. „; „Lépjen köztük lévő pushup pozícióba; támaszkodjon úgy, hogy kezét a dobozokra helyezi. „; „Jó testtartással; leesszen a peronokról úgy, hogy felfelé nyomja és mozgatja a kezét a vállszélességre; párnázza a leszállást azáltal, hogy elnyeli az ütközést a karon keresztül.]";plyometrics;"[""Drop_Push/0.jpg""; ""Drop_Push/1.jpg""]";Drop_Push
221;Kézis Váltott Bicepsz Hajlítás;pull;beginner;isolation;kézisúlyzó;[7];[12];"[Álljon (törzs függőlegesen), mindkét kezében egy súlyzóval, karhosszban tartva. A könyöknek közel kell lennie a törzshez, a tenyerének pedig a combokhoz kell néznie. „; „Miközben a felkarot álló helyzetben tartja, hajlítsa meg a megfelelő súlyt, miközben a tenyerét addig forgatja, amíg előre nem néz. Ezen a ponton folytassa a bicepsz összehúzódását, miközben kilélegzik, amíg a bicepsz teljesen meg nem húzódik, és a súlyzók vállszinten vannak. A bicepsz összenyomása közben tartsa egy másodpercig az összehúzott helyzetet. Tipp: Csak az alkaroknak kell mozogniuk. „; „Lassan kezdjeje el visszahozni a súlyzót a kiindulási helyzetbe, miközben belélegzed. Tipp: Ne felejtse el visszacsavarni a tenyerét a kiindulási helyzetbe (a combokkal szemben), amikor leereszkedik. „; „Ismételje meg a mozgást a bal kezével. Ez egyenlő egy ismétléssel. „; „Folytassa a váltakozást ilyen módon az ajánlott ismétlések mennyiségéhez.]";strength;"[""Dumbbell_Alternate_Bicep_Curl/0.jpg""; ""Dumbbell_Alternate_Bicep_Curl/1.jpg""]";Dumbbell_Alternate_Bicep_Curl
222;Kézis Fekvenyomás;push;beginner;compound;kézisúlyzó;[4];"[2; 6]";"[Feküdjön le egy lapos padra, mindkét kezében egy súlyzó a comb tetején nyugszik. A tenyér egymással szemben lesz. „; „Ezután; a combjaiddal felemelheti a súlyzókat; emelje fel a súlyzókat egyenként, hogy vállszélességben tarthassa őket előtted. „; „Egyszer vállszélességgel; forgassa előre a csuklóját úgy, hogy a tenyered távolra nézzen tőled. A súlyzóknak közvetlenül a mellkas oldalán kell lenniük; a felkar és az alkar 90 fokos szöget hoz létre. Ügyeljen arra, hogy mindig teljes mértékben ellenőrizze a súlyzókat. Ez lesz a kiindulási pozíciód. „; „Akkor; amikor kilélegzel; a mellkasával nyomja fel a súlyzókat. Zárja be a karját a lift tetejére, és nyomja össze a mellkasát; tartsa egy másodpercig, majd lassan kezdjejen leereszkedni. Tipp: Ideális esetben a súly csökkentése körülbelül kétszer annyi időt vesz igénybe, mint az emelés. „; „Ismételje meg a mozgást az edzésprogram előírt mennyiségű ismétléséhez.]";strength;"[""Dumbbell_Bench_Press/0.jpg""; ""Dumbbell_Bench_Press/1.jpg""]";Dumbbell_Bench_Press
223;Kézis Fekvenyomás Semleges Fogással;push;beginner;compound;kézisúlyzó;[4];"[2; 6]";"[Vegyen egy súlyzót mindkét kezébe, és feküdjönön vissza egy lapos padra. A lábának síknak kell lennie a padlón, és a válllapátoknak visszahúzódnia kell. „; „Semleges markolat fenntartása; tenyér egymás felé néz; kezdjeje közvetlenül fölötted kinyújtott karjaival; merőlegesen a padlóra. Ez lesz a kiindulási pozíciód. „; „Kezdje a mozgást a könyök hajlításával; a felkarok oldalra engedésével. Addig ereszkedjen le, amíg a súlyzók a törzsedhez nem kerülnek. „; „Szüneteltetés; majd nyújtsa ki a könyökét, és térjen vissza a kiindulási helyzetbe.]";strength;"[""Dumbbell_Bench_Press_with_Neutral_Grip/0.jpg""; ""Dumbbell_Bench_Press_with_Neutral_Grip/1.jpg""]";Dumbbell_Bench_Press_with_Neutral_Grip
224;Kézis Bicepsz Hajlítás;pull;beginner;isolation;kézisúlyzó;[7];[12];"[Álljon fel egyenesen, mindkét kezében egy súlyzóval, karhosszúságban. Tartsa könyökét közel a törzséhez, és forgassa el a tenyerét, amíg előre nem néznek. Ez lesz a kiindulási pozíciód. „; „Most; tartsa a felkarokat álló helyzetben; lélegezze ki és hajlítsa meg a súlyokat, miközben összehúzza bicepszét. Folytassa a súlyok emelését, amíg a bicepsz teljesen össze nem húzódik, és a súlyzók vállszinten vannak. A bicepsz összenyomása közben tartsa rövid szünetet az összehúzott pozíciót. „; „Ezután lélegezzen be, és lassan kezdjeje el visszaengedni a súlyzókat a kiindulási helyzetbe. „; „Ismételje meg az ajánlott ismétlés mennyiségéhez.]";strength;"[""Dumbbell_Bicep_Curl/0.jpg""; ""Dumbbell_Bicep_Curl/1.jpg""]";Dumbbell_Bicep_Curl
225;Kézis Clean;pull;intermediate;compound;kézisúlyzó;[5];"[10; 12; 13; 11; 1; 2; 14]";"[Kezdjen állni egy súlyzóval mindkét kezében, a lábad vállszélességében egymástól. „; „Engedje le a súlyokat a padlóra a csípő és a térd hajlításával; nyomja vissza a csípőjét, amíg a súlyzók el nem érik a padlót. Ez lesz a kiindulási pozíciód. „; „A mozgás elindításához; hevesen ugrj felfelé a csípő, a térdek és a bokák meghosszabbításával, hogy felfelé tegyék a súlyokat. A súlyzók semleges tapadásának fenntartása; tartsa egyenesen a karokat, amíg el nem éri a teljes nyújtást. „; „Teljes meghosszabbítás után állítsa vissza a csípőt és a térdet, hogy guggoló helyzetben kapja meg a súlyt. Hagyja, hogy a karok hajlítsák meg; vezesse a súlyzókat a vállához. „; „Miután megkapja a súlyt guggoló helyzetben, nyújtsa ki a csípőt és a térdet, hogy álló helyzetben végezze el a súlyokat a vállán.]";strength;"[""Dumbbell_Clean/0.jpg""; ""Dumbbell_Clean/1.jpg""]";Dumbbell_Clean
226;Kézis Padlónyomás;push;intermediate;compound;kézisúlyzó;[6];"[4; 2]";"[Feküdj a padlóra, tartva a kezedben súlyzókat. A térded hajlítható. Kezdje a teljesen fölötted lévő súlyokkal. „; „Engedje le a súlyokat, amíg a felkarja nem érintkezik a padlóval. A könyökét rögzítheti, hogy hangsúlyozza a tricepsz méretét és erejét; vagy arra összpontosíthat, hogy a mellkasát oldalra fordítsa a karjait. „; „Szünetet az alján; majd a könyökön keresztül húzza össze a súlyt a tetején.]";powerlifting;"[""Dumbbell_Floor_Press/0.jpg""; ""Dumbbell_Floor_Press/1.jpg""]";Dumbbell_Floor_Press
